ID,ECCE_gram,ECCE_vocab,Cloze,Ln,LnStatus,Age,Gender,Day,Group,NounTest_session,TestType,Test,TestTrial,TestLang,SentTest_mean,Construction,CorrectAns,DefMeaning,L1_Eng,Eng_rating,Eng_hours,L_GrowUp
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_EN_SVO,3,EN,SVO,jark_dola_lin-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Pattern,Sent_t1_2_EN_comple,4,EN,Completive,jark_dass_katon-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_TH_OSV,4,TH,OSV,fursar_dola_katon_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Pattern,Sent_t1_2_TH_conti,5,TH,Continuative,harter_dola_katon_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_TH_SVO,5,TH,SVO,jark_dola_lin_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Pattern,Sent_t1_2_EN_comple,6,EN,Completive,fursar_dola_lin-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_TH_OSV,6,TH,OSV,jark_dass_katon_bef_dit,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Pattern,Sent_t1_2_TH_comple,7,TH,Completive,fursar_dola_lin_lon_beng,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_EN_OSV,7,EN,OSV,fursar_dass_lin-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Pattern,Sent_t1_2_TH_comple,8,TH,Completive,jark_dass_katon_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,1.2,THAI,2,Construction,ConsT1_2_EN_OSV,8,EN,OSV,fursar_dola_katon-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_TH_conti,1,TH,Continuative,harter_dass_katon_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_EN_SVO,1,EN,SVO,jark_dass_lin-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_TH_comple,2,TH,Completive,toak_dass_lin_lon_beng,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_EN_OSV,2,EN,OSV,jark_dola_katon-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_TH_conti,3,TH,Continuative,fursar_dola_lin_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_EN_OSV,3,EN,OSV,toak_dass_katon-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_EN_comple,4,EN,Completive,toak_dass_lin-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_TH_SVO,4,TH,SVO,jark_dola_katon_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_EN_comple,5,EN,Completive,jark_dola_katon-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_TH_OSV,5,TH,OSV,toak_dola_lin_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_EN_conti,6,EN,Continuative,fursar_dola_lin-et,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_TH_OSV,6,TH,OSV,jark_dass_lin_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_EN_conti,7,EN,Continuative,harter_dass_katon-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_TH_SVO,7,TH,SVO,toak_dass_katon_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Pattern,Sent_t2_1_TH_comple,8,TH,Completive,jark_dola_katon_lon_beng,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.1,THAI,1,Construction,ConsT2_1_EN_SVO,8,EN,SVO,toak_dola_lin-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_EN_comple,1,EN,Completive,harter_dola_lin-an,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_TH_OSV,1,TH,OSV,fursar_dass_lin_lon_beng,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_TH_comple,2,TH,Completive,fursar_dass_katon_lon_beng,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_EN_OSV,2,EN,OSV,harter_dass_katon-an,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_TH_conti,3,TH,Continuative,toak_dola_katon_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_EN_SVO,3,EN,SVO,harter_dola_lin-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_EN_conti,4,EN,Continuative,toak_dola_katon-et,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Construction,ConsT2_2_TH_SVO,4,TH,SVO,fursar_dola_katon_bef_dit,TRUE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
T021,15,18,8,Laos,1,19,Female,2.2,THAI,1,Pattern,Sent_t2_2_TH_comple,5,TH,Completive,harter_dola_lin_lon_beng,FALSE,0,No,4.25,NA,"TH_C, TH_NE, TH_S, Eng"
